Subject,Song_ID,Enjoyment,Familiarity,Familiarity_Group,theta_frontal,theta_central,theta_parietal
18,2,3,2,Low,1.4563376925119357e-10,1.7070879039629955e-10,2.6491039376873806e-10
18,5,4,5,High,2.629365975515814e-10,3.0021310263943857e-10,3.913189110938863e-10
18,6,1,5,High,1.41992454161097e-10,1.4596749206177665e-10,1.9569842230993412e-10
18,8,2,1,Low,1.260611216790268e-10,1.4157277187375438e-10,1.866990328266475e-10
18,9,3,5,High,2.413374715953341e-10,2.7154149420971037e-10,3.5137741305034873e-10
18,12,3,2,Low,1.468141686642893e-10,2.395105306758136e-10,2.1979658966613043e-10
19,6,4,5,High,3.1593745985766925e-11,3.754780464207843e-11,4.541679681649334e-11
19,7,3,2,Low,2.0666576748149094e-11,2.5950984820274718e-11,3.9014864209080614e-11
19,9,2,5,High,5.7243607103736865e-11,7.040394917891475e-11,1.8595757407896872e-10
19,11,1,2,Low,2.649929218422323e-11,3.675122402309226e-11,2.9845984077491587e-06
20,1,2,5,High,1.4732362225076953e-11,1.781236178412051e-11,2.4595474516624278e-11
20,2,1,5,High,9.971126194410911e-11,1.9544098454435107e-11,2.6255835245120248e-11
20,3,1,5,High,1.2784653514856614e-10,2.6246406075245886e-11,3.082715698798823e-11
20,4,3,5,High,1.1268984914160002e-10,2.052839776483244e-11,2.800293122293179e-11
20,5,3,5,High,1.1641298271247512e-10,1.9034071073225132e-11,2.5962993602799253e-11
20,6,3,5,High,1.11400908704884e-10,1.7960380175955173e-11,2.3550080392095675e-11
20,7,3,5,High,3.651831800452162e-11,2.037547849961108e-11,2.6969888344054352e-11
20,9,2,5,High,2.818624479950076e-10,3.007081438939745e-11,2.942173775800944e-11
20,11,1,5,High,1.169475851569283e-10,2.0009738581311374e-11,2.6583637771948128e-11
20,12,2,5,High,8.915694979035475e-11,2.0285778903320233e-11,2.5873259733797965e-11
